688,Thị xã Phước Long,70
689,Thành phố Đồng Xoài,70
690,Thị xã Bình Long,70
691,Huyện Bù Gia Mập,70
692,Huyện Lộc Ninh,70
693,Huyện Bù Đốp,70
694,Huyện Hớn Quản,70
695,Huyện Đồng Phú,70
696,Huyện Bù Đăng,70
697,Huyện Chơn Thành,70
698,Huyện Phú Riềng,70
703,Thành phố Tây Ninh,72
705,Huyện Tân Biên,72
706,Huyện Tân Châu,72
707,Huyện Dương Minh Châu,72
708,Huyện Châu Thành,72
709,Thị xã Hòa Thành,72
710,Huyện Gò Dầu,72
711,Huyện Bến Cầu,72
712,Thị xã Trảng Bàng,72
718,Thành phố Thủ Dầu Một,74
719,Huyện Bàu Bàng,74
720,Huyện Dầu Tiếng,74
721,Thị xã Bến Cát,74
722,Huyện Phú Giáo,74
723,Thị xã Tân Uyên,74
724,Thành phố Dĩ An,74
725,Thành phố Thuận An,74
726,Huyện Bắc Tân Uyên,74
731,Thành phố Biên Hòa,75
732,Thành phố Long Khánh,75
734,Huyện Tân Phú,75
735,Huyện Vĩnh Cửu,75
736,Huyện Định Quán,75
737,Huyện Trảng Bom,75
738,Huyện Thống Nhất,75
739,Huyện Cẩm Mỹ,75
740,Huyện Long Thành,75
741,Huyện Xuân Lộc,75
742,Huyện Nhơn Trạch,75
747,Thành phố Vũng Tàu,77
748,Thành phố Bà Rịa,77
750,Huyện Châu Đức,77
751,Huyện Xuyên Mộc,77
752,Huyện Long Điền,77
753,Huyện Đất Đỏ,77
754,Thị xã Phú Mỹ,77
755,Huyện Côn Đảo,77
760,Quận 1,79
761,Quận 12,79
764,Quận Gò Vấp,79
765,Quận Bình Thạnh,79
766,Quận Tân Bình,79
767,Quận Tân Phú,79
768,Quận Phú Nhuận,79
769,Thành phố Thủ Đức,79
770,Quận 3,79
771,Quận 10,79
772,Quận 11,79
773,Quận 4,79
774,Quận 5,79
775,Quận 6,79
776,Quận 8,79
777,Quận Bình Tân,79
778,Quận 7,79
783,Huyện Củ Chi,79
784,Huyện Hóc Môn,79
785,Huyện Bình Chánh,79
786,Huyện Nhà Bè,79
787,Huyện Cần Giờ,79
794,Thành phố Tân An,80
795,Thị xã Kiến Tường,80
796,Huyện Tân Hưng,80
797,Huyện Vĩnh Hưng,80
798,Huyện Mộc Hóa,80
799,Huyện Tân Thạnh,80
800,Huyện Thạnh Hóa,80
801,Huyện Đức Huệ,80
802,Huyện Đức Hòa,80
803,Huyện Bến Lức,80
804,Huyện Thủ Thừa,80
805,Huyện Tân Trụ,80
806,Huyện Cần Đước,80
807,Huyện Cần Giuộc,80
808,Huyện Châu Thành,80
815,Thành phố Mỹ Tho,82
816,Thị xã Gò Công,82
817,Thị xã Cai Lậy,82
818,Huyện Tân Phước,82
819,Huyện Cái Bè,82
820,Huyện Cai Lậy,82
821,Huyện Châu Thành,82
822,Huyện Chợ Gạo,82
823,Huyện Gò Công Tây,82
824,Huyện Gò Công Đông,82
825,Huyện Tân Phú Đông,82
829,Thành phố Bến Tre,83
831,Huyện Châu Thành,83
832,Huyện Chợ Lách,83
833,Huyện Mỏ Cày Nam,83
834,Huyện Giồng Trôm,83
835,Huyện Bình Đại,83
836,Huyện Ba Tri,83
837,Huyện Thạnh Phú,83
838,Huyện Mỏ Cày Bắc,83
842,Thành phố Trà Vinh,84
844,Huyện Càng Long,84
845,Huyện Cầu Kè,84
846,Huyện Tiểu Cần,84
847,Huyện Châu Thành,84
848,Huyện Cầu Ngang,84
849,Huyện Trà Cú,84
850,Huyện Duyên Hải,84
851,Thị xã Duyên Hải,84
855,Thành phố Vĩnh Long,86
857,Huyện Long Hồ,86
858,Huyện Mang Thít,86
859,Huyện  Vũng Liêm,86
860,Huyện Tam Bình,86
861,Thị xã Bình Minh,86
862,Huyện Trà Ôn,86
863,Huyện Bình Tân,86
866,Thành phố Cao Lãnh,87
867,Thành phố Sa Đéc,87
868,Thành phố Hồng Ngự,87
869,Huyện Tân Hồng,87
870,Huyện Hồng Ngự,87
871,Huyện Tam Nông,87
872,Huyện Tháp Mười,87
873,Huyện Cao Lãnh,87
874,Huyện Thanh Bình,87
875,Huyện Lấp Vò,87
876,Huyện Lai Vung,87
877,Huyện Châu Thành,87
883,Thành phố Long Xuyên,89
884,Thành phố Châu Đốc,89
886,Huyện An Phú,89
887,Thị xã Tân Châu,89
888,Huyện Phú Tân,89
889,Huyện Châu Phú,89
890,Huyện Tịnh Biên,89
891,Huyện Tri Tôn,89
892,Huyện Châu Thành,89
893,Huyện Chợ Mới,89
894,Huyện Thoại Sơn,89
899,Thành phố Rạch Giá,91
900,Thành phố Hà Tiên,91
902,Huyện Kiên Lương,91
903,Huyện Hòn Đất,91
904,Huyện Tân Hiệp,91
905,Huyện Châu Thành,91
906,Huyện Giồng Riềng,91
907,Huyện Gò Quao,91
908,Huyện An Biên,91
909,Huyện An Minh,91
910,Huyện Vĩnh Thuận,91
911,Thành phố Phú Quốc,91
912,Huyện Kiên Hải,91
913,Huyện U Minh Thượng,91
914,Huyện Giang Thành,91
916,Quận Ninh Kiều,92
917,Quận Ô Môn,92
918,Quận Bình Thuỷ,92
919,Quận Cái Răng,92
923,Quận Thốt Nốt,92
924,Huyện Vĩnh Thạnh,92
925,Huyện Cờ Đỏ,92
926,Huyện Phong Điền,92
927,Huyện Thới Lai,92
930,Thành phố Vị Thanh,93
931,Thành phố Ngã Bảy,93
932,Huyện Châu Thành A,93
933,Huyện Châu Thành,93
934,Huyện Phụng Hiệp,93
935,Huyện Vị Thuỷ,93
936,Huyện Long Mỹ,93
937,Thị xã Long Mỹ,93
941,Thành phố Sóc Trăng,94
942,Huyện Châu Thành,94
943,Huyện Kế Sách,94
944,Huyện Mỹ Tú,94
945,Huyện Cù Lao Dung,94
946,Huyện Long Phú,94
947,Huyện Mỹ Xuyên,94
948,Thị xã Ngã Năm,94
949,Huyện Thạnh Trị,94
950,Thị xã Vĩnh Châu,94
951,Huyện Trần Đề,94
954,Thành phố Bạc Liêu,95
956,Huyện Hồng Dân,95
957,Huyện Phước Long,95
958,Huyện Vĩnh Lợi,95
959,Thị xã Giá Rai,95
960,Huyện Đông Hải,95
961,Huyện Hoà Bình,95
964,Thành phố Cà Mau,96
966,Huyện U Minh,96
967,Huyện Thới Bình,96
968,Huyện Trần Văn Thời,96
969,Huyện Cái Nước,96
970,Huyện Đầm Dơi,96
971,Huyện Năm Căn,96
972,Huyện Phú Tân,96
973,Huyện Ngọc Hiển,96
