1,Quận Ba Đình,1
2,Quận Hoàn Kiếm,1
3,Quận Tây Hồ,1
4,Quận Long Biên,1
5,Quận Cầu Giấy,1
6,Quận Đống Đa,1
7,Quận Hai Bà Trưng,1
8,Quận Hoàng Mai,1
9,Quận Thanh Xuân,1
16,Huyện Sóc Sơn,1
17,Huyện Đông Anh,1
18,Huyện Gia Lâm,1
19,Quận Nam Từ Liêm,1
20,Huyện Thanh Trì,1
21,Quận Bắc Từ Liêm,1
250,Huyện Mê Linh,1
268,Quận Hà Đông,1
269,Thị xã Sơn Tây,1
271,Huyện Ba Vì,1
272,Huyện Phúc Thọ,1
273,Huyện Đan Phượng,1
274,Huyện Hoài Đức,1
275,Huyện Quốc Oai,1
276,Huyện Thạch Thất,1
277,Huyện Chương Mỹ,1
278,Huyện Thanh Oai,1
279,Huyện Thường Tín,1
280,Huyện Phú Xuyên,1
281,Huyện Ứng Hòa,1
282,Huyện Mỹ Đức,1
24,Thành phố Hà Giang,2
26,Huyện Đồng Văn,2
27,Huyện Mèo Vạc,2
28,Huyện Yên Minh,2
29,Huyện Quản Bạ,2
30,Huyện Vị Xuyên,2
31,Huyện Bắc Mê,2
32,Huyện Hoàng Su Phì,2
33,Huyện Xín Mần,2
34,Huyện Bắc Quang,2
35,Huyện Quang Bình,2
40,Thành phố Cao Bằng,4
42,Huyện Bảo Lâm,4
43,Huyện Bảo Lạc,4
45,Huyện Hà Quảng,4
47,Huyện Trùng Khánh,4
48,Huyện Hạ Lang,4
49,Huyện Quảng Hòa,4
51,Huyện Hoà An,4
52,Huyện Nguyên Bình,4
53,Huyện Thạch An,4
58,Thành Phố Bắc Kạn,6
60,Huyện Pác Nặm,6
61,Huyện Ba Bể,6
62,Huyện Ngân Sơn,6
63,Huyện Bạch Thông,6
64,Huyện Chợ Đồn,6
65,Huyện Chợ Mới,6
66,Huyện Na Rì,6
70,Thành phố Tuyên Quang,8
71,Huyện Lâm Bình,8
72,Huyện Na Hang,8
73,Huyện Chiêm Hóa,8
74,Huyện Hàm Yên,8
75,Huyện Yên Sơn,8
76,Huyện Sơn Dương,8
80,Thành phố Lào Cai,10
82,Huyện Bát Xát,10
83,Huyện Mường Khương,10
84,Huyện Si Ma Cai,10
85,Huyện Bắc Hà,10
86,Huyện Bảo Thắng,10
87,Huyện Bảo Yên,10
88,Thị xã Sa Pa,10
89,Huyện Văn Bàn,10
94,Thành phố Điện Biên Phủ,11
95,Thị Xã Mường Lay,11
96,Huyện Mường Nhé,11
97,Huyện Mường Chà,11
98,Huyện Tủa Chùa,11
99,Huyện Tuần Giáo,11
100,Huyện Điện Biên,11
101,Huyện Điện Biên Đông,11
102,Huyện Mường Ảng,11
103,Huyện Nậm Pồ,11
105,Thành phố Lai Châu,12
106,Huyện Tam Đường,12
107,Huyện Mường Tè,12
108,Huyện Sìn Hồ,12
109,Huyện Phong Thổ,12
110,Huyện Than Uyên,12
111,Huyện Tân Uyên,12
112,Huyện Nậm Nhùn,12
116,Thành phố Sơn La,14
118,Huyện Quỳnh Nhai,14
119,Huyện Thuận Châu,14
120,Huyện Mường La,14
121,Huyện Bắc Yên,14
122,Huyện Phù Yên,14
123,Huyện Mộc Châu,14
124,Huyện Yên Châu,14
125,Huyện Mai Sơn,14
126,Huyện Sông Mã,14
127,Huyện Sốp Cộp,14
128,Huyện Vân Hồ,14
132,Thành phố Yên Bái,15
133,Thị xã Nghĩa Lộ,15
135,Huyện Lục Yên,15
136,Huyện Văn Yên,15
137,Huyện Mù Căng Chải,15
138,Huyện Trấn Yên,15
139,Huyện Trạm Tấu,15
140,Huyện Văn Chấn,15
141,Huyện Yên Bình,15
148,Thành phố Hòa Bình,17
150,Huyện Đà Bắc,17
152,Huyện Lương Sơn,17
153,Huyện Kim Bôi,17
154,Huyện Cao Phong,17
155,Huyện Tân Lạc,17
156,Huyện Mai Châu,17
157,Huyện Lạc Sơn,17
158,Huyện Yên Thủy,17
159,Huyện Lạc Thủy,17
164,Thành phố Thái Nguyên,19
165,Thành phố Sông Công,19
167,Huyện Định Hóa,19
168,Huyện Phú Lương,19
